time,X,Y,Z,Vx,Vy,Vz
1.849536,259.461403,986.928804,-503.387547,-50.796296,-13.051775,97.570371
1.859534,258.954350,986.798030,-502.413588,-50.640120,-13.109675,97.270958
1.869531,258.448853,986.666677,-501.442612,-50.484851,-13.167509,96.973286
1.879529,257.944904,986.534746,-500.474605,-50.330457,-13.225270,96.677291
1.889526,257.442495,986.402238,-499.509550,-50.176923,-13.282957,96.382946
1.899524,256.941617,986.269154,-498.547429,-50.024236,-13.340570,96.090225
1.909521,256.442260,986.135494,-497.588224,-49.872383,-13.398108,95.799105
1.919519,255.944417,986.001259,-496.631922,-49.721359,-13.455571,95.509577
1.929516,255.448080,985.866450,-495.678508,-49.571159,-13.512961,95.221628
1.939514,254.953241,985.731068,-494.727964,-49.421774,-13.570276,94.935243
1.949511,254.459890,985.595113,-493.780275,-49.273196,-13.627518,94.650405
1.959509,253.968021,985.458586,-492.835425,-49.125418,-13.684687,94.367103
1.969506,253.477626,985.321488,-491.893401,-48.978442,-13.741785,94.085338
1.979504,252.988695,985.183819,-490.954185,-48.832262,-13.798814,93.805101
1.989501,252.501223,985.045581,-490.017764,-48.686874,-13.855774,93.526383
1.999499,252.015200,984.906773,-489.084122,-48.542274,-13.912666,93.249177
2.009496,251.530618,984.767397,-488.153243,-48.398457,-13.969493,92.973473
2.019494,251.047471,984.627454,-487.225114,-48.255418,-14.026253,92.699262
2.029491,250.565749,984.486943,-486.299719,-48.113154,-14.082949,92.426537
2.039489,250.085447,984.345865,-485.377042,-47.971660,-14.139582,92.155288
2.049486,249.606554,984.204222,-484.457070,-47.830931,-14.196152,91.885508
2.059484,249.129066,984.062013,-483.539789,-47.690963,-14.252661,91.617187
2.069481,248.652973,983.919240,-482.625184,-47.551752,-14.309109,91.350319
2.079479,248.178269,983.775903,-481.713240,-47.413293,-14.365497,91.084894
2.089476,247.704945,983.632002,-480.803943,-47.275583,-14.421827,90.820904
2.099474,247.232995,983.487538,-479.897279,-47.138616,-14.478099,90.558342
2.109471,246.762411,983.342511,-478.993233,-47.002389,-14.534315,90.297198
2.119469,246.293184,983.196924,-478.091790,-46.866897,-14.590474,90.037464
2.129466,245.825309,983.050775,-477.192937,-46.732135,-14.646579,89.779132
2.139464,245.358776,982.904065,-476.296658,-46.598101,-14.702631,89.522194
2.149461,244.893579,982.756796,-475.402939,-46.464788,-14.758629,89.266640
2.159459,244.429711,982.608967,-474.511768,-46.332189,-14.814574,89.012456
2.169456,243.967165,982.460579,-473.623132,-46.200298,-14.870466,88.759630
2.179454,243.505935,982.311632,-472.737017,-46.069109,-14.926304,88.508152
2.189451,243.046012,982.162128,-471.853410,-45.938617,-14.982091,88.258010
2.199449,242.587391,982.012066,-470.972297,-45.808815,-15.037825,88.009192
2.209446,242.130064,981.861447,-470.093665,-45.679698,-15.093506,87.761686
2.219444,241.674025,981.710272,-469.217501,-45.551258,-15.149136,87.515481
2.229441,241.219266,981.558541,-468.343791,-45.423490,-15.204714,87.270564
2.239439,240.765782,981.406255,-467.472524,-45.296386,-15.260239,87.026922
2.249436,240.313564,981.253413,-466.603686,-45.169941,-15.315713,86.784542
2.259434,239.862607,981.100018,-465.737265,-45.044148,-15.371134,86.543415
2.269431,239.412905,980.946068,-464.873248,-44.919001,-15.426503,86.303526
2.279429,238.964451,980.791565,-464.011623,-44.794493,-15.481819,86.064862
2.289426,238.517238,980.636510,-463.152379,-44.670617,-15.537082,85.827412
2.299424,238.071261,980.480902,-462.295503,-44.547366,-15.592291,85.591161
2.309421,237.626513,980.324743,-461.440983,-44.424734,-15.647447,85.356096
2.319419,237.182988,980.168032,-460.588806,-44.302713,-15.702548,85.122203
2.329416,236.740679,980.010771,-459.738963,-44.181295,-15.757594,84.889468
2.339414,236.299582,979.852960,-458.891440,-44.060474,-15.812585,84.657877
2.349411,235.859689,979.694599,-458.046226,-43.940244,-15.867520,84.427420
2.359409,235.420995,979.535689,-457.203310,-43.820612,-15.922404,84.198109
2.369406,234.983493,979.376231,-456.362680,-43.701576,-15.977238,83.969943
2.379404,234.547179,979.216224,-455.524325,-43.583136,-16.032024,83.742919
2.389401,234.112045,979.055670,-454.688234,-43.465290,-16.086763,83.517034
2.399399,233.678087,978.894569,-453.854397,-43.348035,-16.141456,83.292284
2.409396,233.245299,978.732922,-453.022801,-43.231372,-16.196105,83.068668
2.419394,232.813674,978.570729,-452.193435,-43.115293,-16.250709,82.846174
2.429391,232.383207,978.407989,-451.366289,-42.999795,-16.305269,82.624794
2.439389,231.953892,978.244705,-450.541350,-42.884875,-16.359786,82.404522
2.449386,231.525723,978.080876,-449.718608,-42.770529,-16.414260,82.185351
2.459384,231.098694,977.916502,-448.898052,-42.656753,-16.468692,81.967275
2.469381,230.672800,977.751585,-448.079670,-42.543546,-16.523083,81.750289
2.479379,230.248035,977.586124,-447.263452,-42.430904,-16.577433,81.534387
2.489376,229.824393,977.420119,-446.449387,-42.318824,-16.631744,81.319562
2.499374,229.401868,977.253572,-445.637465,-42.207302,-16.686015,81.105810
2.509371,228.980456,977.086483,-444.827674,-42.096336,-16.740248,80.893123
2.519369,228.560151,976.918851,-444.020004,-41.985923,-16.794444,80.681496
2.529366,228.140946,976.750678,-443.214445,-41.876059,-16.848602,80.470924
2.539364,227.722838,976.581964,-442.410985,-41.766743,-16.902725,80.261400
2.549361,227.305819,976.412709,-441.609616,-41.657969,-16.956811,80.052919
2.559359,226.889885,976.242913,-440.810325,-41.549737,-17.010863,79.845475
2.569356,226.475031,976.072577,-440.013103,-41.442042,-17.064880,79.639063
2.579354,226.061250,975.901701,-439.217939,-41.334882,-17.118864,79.433676
2.589351,225.648538,975.730285,-438.424824,-41.228254,-17.172815,79.229310
2.599349,225.236890,975.558331,-437.633746,-41.122154,-17.226733,79.025958
2.609346,224.826300,975.385837,-436.844697,-41.016581,-17.280620,78.823615
2.619344,224.416762,975.212805,-436.057665,-40.911531,-17.334476,78.622276
2.629341,224.008272,975.039235,-435.272642,-40.807001,-17.388302,78.421934
2.639339,223.600825,974.865126,-434.489617,-40.702981,-17.442094,78.222571
2.649336,223.194415,974.690480,-433.708580,-40.599458,-17.495850,78.024160
2.659334,222.789039,974.515298,-432.929523,-40.496424,-17.549567,77.826689
2.669331,222.384690,974.339578,-432.152436,-40.393872,-17.603245,77.630140
2.679329,221.981363,974.163322,-431.377309,-40.291791,-17.656880,77.434497
2.689326,221.579055,973.986529,-430.604133,-40.190175,-17.710471,77.239743
2.699324,221.177760,973.809201,-429.832899,-40.089017,-17.764017,77.045869
2.709321,220.777474,973.631338,-429.063598,-39.988324,-17.817523,76.852887
2.719319,220.378192,973.452940,-428.296222,-39.888095,-17.870990,76.660794
2.729316,219.979909,973.274007,-427.530762,-39.788327,-17.924419,76.469586
2.739313,219.582622,973.094541,-426.767208,-39.689020,-17.977809,76.279261
2.749311,219.186325,972.914541,-426.005553,-39.590172,-18.031164,76.089818
2.759308,218.791015,972.734008,-425.245789,-39.491783,-18.084483,75.901254
2.769306,218.396686,972.552942,-424.487906,-39.393847,-18.137766,75.713560
2.779303,218.003333,972.371344,-423.731894,-39.296362,-18.191014,75.526730
2.789301,217.610954,972.189213,-422.977746,-39.199325,-18.244228,75.340760
2.799298,217.219542,972.006551,-422.225454,-39.102734,-18.297407,75.155645
2.809296,216.829094,971.823357,-421.475007,-39.006587,-18.350553,74.971382
2.819293,216.439604,971.639632,-420.726399,-38.910883,-18.403666,74.787968
2.829291,216.051069,971.455376,-419.979620,-38.815618,-18.456746,74.605396
2.839288,215.663485,971.270589,-419.234662,-38.720790,-18.509795,74.423662
2.849286,215.276846,971.085273,-418.491517,-38.626397,-18.562812,74.242762
2.859283,214.891149,970.899426,-417.750176,-38.532436,-18.615798,74.062692
2.869281,214.506389,970.713050,-417.010631,-38.438905,-18.668754,73.883446
2.879278,214.122561,970.526144,-416.272873,-38.345803,-18.721680,73.705022
2.889276,213.739663,970.338710,-415.536896,-38.253126,-18.774577,73.527414
2.899273,213.357688,970.150747,-414.802689,-38.160873,-18.827445,73.350618
2.909271,212.976634,969.962255,-414.070246,-38.069041,-18.880285,73.174630
2.919268,212.596496,969.773235,-413.339559,-37.977628,-18.933097,72.999446
2.929266,212.217270,969.583688,-412.610619,-37.886632,-18.985882,72.825062
2.939263,211.838952,969.393613,-411.883419,-37.796051,-19.038640,72.651474
2.949261,211.461537,969.203011,-411.157951,-37.705883,-19.091372,72.478677
2.959258,211.085022,969.011881,-410.434207,-37.616125,-19.144078,72.306667
2.969256,210.709402,968.820225,-409.712178,-37.526775,-19.196759,72.135440
2.979253,210.334673,968.628043,-408.991858,-37.437832,-19.249415,71.964993
2.989251,209.960832,968.435334,-408.273238,-37.349293,-19.302047,71.795320
